,EMPLOYER,JOB TITLE,BASE SALARY,LOCATION,SUBMIT DATE,START DATE
1597,OREVA TECHNOLOGIES INC,DATA ANALYST,"141,440","WINSTON SALEM, NC",03/28/2022,04/04/2022
1598,OREVA TECHNOLOGIES INC,DATA ANALYST,"141,440","MOUNT AIRY, NC",03/28/2022,04/04/2022
1599,OREVA TECHNOLOGIES INC,DATA ANALYST,"141,440","WINSTON SALEM, NC",03/29/2022,04/05/2022
1600,OREVA TECHNOLOGIES INC,DATA ANALYST,"141,440","MOUNT AIRY, NC",03/29/2022,04/05/2022
1601,META PLATFORMS INC,DATA ANALYST,"141,855","SUNNYVALE, CA",01/28/2022,07/26/2022
1602,BUILDING ROBOTICS INC,DATA ANALYST,"142,100","OAKLAND, CA",02/09/2022,02/14/2022
1603,AYDEN NV (SAN FRANCISCO BRANCH),DATA ANALYST,"142,438","SAN FRANCISCO, CA",03/15/2022,06/01/2022
1604,SVB FINANCIAL GROUP,DATA ANALYST,"142,438","SANTA CLARA, CA",05/04/2022,05/23/2022
1605,TWO SIGMA SOLUTIONS LLC,DATA ANALYST,"142,500","HOUSTON, TX",02/03/2022,06/03/2022
1606,META PLATFORMS INC,DATA ANALYST,"144,060","SUNNYVALE, CA",02/03/2022,07/20/2022
1607,BYTEDANCE INC,DATA ANALYST,"145,000","NEW YORK, NY",04/15/2022,10/01/2022
1608,TWO SIGMA SOLUTIONS LLC,DATA ANALYST,"145,000","HOUSTON, TX",01/14/2022,05/20/2022
1609,UNIVERSITY OF CALIFORNIA BERKELEY,DATA ANALYST,"145,000","BERKELEY, CA",11/12/2022,12/05/2022
1610,BILLFLOAT INC,DATA ANALYST,"147,000","JERSEY CITY, NJ",03/10/2022,03/16/2022
1611,META PLATFORMS INC,DATA ANALYST,"147,000","NEW YORK, NY",01/20/2022,07/10/2022
1612,META PLATFORMS INC,DATA ANALYST,"147,000","NEW YORK, NY",03/02/2022,08/16/2022
1613,POWER HOME REMODELING GROUP LLC,DATA ANALYST,"150,000","SOMERVILLE, MA",08/05/2022,08/05/2022
1614,SIMPLEPRACTICE LLC,DATA ANALYST,"150,000","MANOR, TX",10/19/2022,11/28/2022
1615,META PLATFORMS INC,DATA ANALYST,"150,000","NEW YORK, NY",03/25/2022,04/04/2022
1616,LYFT INC,DATA ANALYST,"150,000","SAN FRANCISCO, CA",04/06/2022,07/05/2022
1617,ECHO STREET CAPITAL MANAGEMENT LLC,DATA ANALYST,"150,000","NEW YORK, NY",02/15/2022,03/01/2022
1618,CONTEXTLOGIC INC DBA WISH,DATA ANALYST,"150,000","SAN FRANCISCO, CA",05/06/2022,10/01/2022
1619,FIRST REPUBLIC BANK,DATA ANALYST,"150,000","SAN FRANCISCO, CA",06/17/2022,07/18/2022
1620,META PLATFORMS INC,DATA ANALYST,"151,396","SUNNYVALE, CA",04/19/2022,10/01/2022
1621,MOVEWORKS INC,DATA ANALYST,"152,250","MOUNTAIN VIEW, CA",07/18/2022,09/20/2022
1622,UBER TECHNOLOGIES INC,DATA ANALYST,"152,800","NEW YORK, NY",04/14/2022,04/21/2022
1623,UBER TECHNOLOGIES INC,DATA ANALYST,"152,800","SUNNYVALE, CA",06/10/2022,06/15/2022
1624,META PLATFORMS INC,DATA ANALYST,"153,417","MENLO PARK, CA",04/25/2022,10/01/2022
1625,POINT72 LP,DATA ANALYST,"153,525","NEW YORK, NY",07/19/2022,08/15/2022
1626,POINT72 LP,DATA ANALYST,"153,525","NEW YORK, NY",08/03/2022,09/12/2022
1627,META PLATFORMS INC,DATA ANALYST,"154,691","MENLO PARK, CA",05/03/2022,10/28/2022
1628,META PLATFORMS INC,DATA ANALYST,"159,000","SAN FRANCISCO, CA",01/11/2022,02/21/2022
1629,TIKTOK INC,DATA ANALYST,"160,000","MOUNTAIN VIEW, CA",12/16/2022,12/27/2022
1630,ADOBE INC,DATA ANALYST,"160,454","SAN JOSE, CA",09/02/2022,09/13/2022
1631,INTERNATIONAL BUSINESS MACHINES CORPORATION,DATA ANALYST,"161,491","SOUTH SAN FRANCISCO, CA",08/11/2022,09/01/2022
1632,BLUEOWL LLC,DATA ANALYST,"170,000","SAN FRANCISCO, CA",03/29/2022,04/25/2022
1633,OXYGEN INC,DATA ANALYST,"170,000","SAN FRANCISCO, CA",05/03/2022,05/20/2022
1634,META PLATFORMS INC,DATA ANALYST,"170,280","SUNNYVALE, CA",02/22/2022,08/06/2022
1635,CITADEL ENTERPRISE AMERICAS SERVICES LLC,DATA ANALYST,"175,000","CHICAGO, IL",12/12/2022,12/19/2022
1636,UBER TECHNOLOGIES INC,DATA ANALYST,"180,000","SUNNYVALE, CA",05/31/2022,07/16/2022
1637,META PLATFORMS INC,DATA ANALYST,"183,150","SAN JOSE, CA",04/18/2022,10/01/2022
1638,BYTEDANCE INC,DATA ANALYST,"190,000","MOUNTAIN VIEW, CA",06/16/2022,06/16/2022
1639,LYFT INC,DATA ANALYST,"195,000","SAN FRANCISCO, CA",01/27/2022,02/28/2022
1640,GOOGLE LLC,DATA ANALYST,"195,000","SUNNYVALE, CA",06/29/2022,07/07/2022
1641,TIKTOK INC,DATA ANALYST,"210,000","MOUNTAIN VIEW, CA",10/20/2022,10/24/2022
1642,TIKTOK INC,DATA ANALYST,"220,000","MOUNTAIN VIEW, CA",10/05/2022,10/17/2022
1643,TIKTOK INC,DATA ANALYST,"220,000","MOUNTAIN VIEW, CA",09/22/2022,10/17/2022
