,EMPLOYER,JOB TITLE,BASE SALARY,LOCATION,SUBMIT DATE,START DATE
341,WESTERN UNION LLC,DATA ANALYST,"60,403","DENVER, CO",05/24/2022,10/01/2022
342,AMITECH SOLUTIONS INC,DATA ANALYST,"60,965","BALLWIN, MO",06/06/2022,10/01/2022
343,DATA CAPITAL INC,DATA ANALYST,"61,131","BENTONVILLE, AR",06/17/2022,10/01/2022
344,PHILIPS NORTH AMERICA LLC,DATA ANALYST,"61,173","STAMFORD, CT",04/12/2022,10/01/2022
345,EVERCOMMERCE SOLUTIONS INC,DATA ANALYST,"61,800","IRVING, TX",05/18/2022,10/01/2022
346,AMICUS GLOBAL IT INC,DATA ANALYST,"61,818","RANCHO MISSION VIEJO, CA",06/10/2022,07/01/2022
347,UNIVERSITY OF GEORGIA,DATA ANALYST,"62,000","ATHENS, GA",07/26/2022,12/01/2022
348,ZMAC TRANSPORTATION SOLUTIONS LLC,DATA ANALYST,"62,000","RACINE, WI",06/01/2022,10/01/2022
349,GLOBAL ENTREPRENEURS NETWORK INC,DATA ANALYST,"62,000","DAYTONA BEACH, FL",06/17/2022,10/01/2022
350,HOLIDAY OIL COMPANY,DATA ANALYST,"62,380","WEST VALLEY CITY, UT",04/29/2022,10/01/2022
351,ST CLOUD TECHNICAL AND COMMUNITY COLLEGE,DATA ANALYST,"62,473","ST.CLOUD, MN",10/20/2022,02/11/2023
352,SWISS RE AMERICA HOLDING CORPORATION,DATA ANALYST,"62,982","ARMONK, NY",02/25/2022,08/18/2022
353,VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,DATA ANALYST,"63,000","BLACKSBURG, VA",09/20/2022,10/31/2022
354,THE MEDICI GROUP LLC,DATA ANALYST,"63,000","NEW YORK, NY",06/10/2022,10/01/2022
355,VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,DATA ANALYST,"63,000","BLACKSBURG, VA",06/13/2022,08/01/2022
356,CLOUD BIG DATA TECHOLOGIES,DATA ANALYST,"63,066","SAN ANTONIO, TX",03/02/2022,03/09/2022
357,RAGHAV LLC,DATA ANALYST,"63,170","SURPRISE, AZ",05/02/2022,10/01/2022
358,RAGHAV LLC,DATA ANALYST,"63,170","SURPRISE, AZ",05/12/2022,10/01/2022
359,ALREACH CORPORATION,DATA ANALYST,"63,606","MARINA DEL REY, CA",01/02/2022,01/10/2022
360,DATA CONCEPTS LLC,DATA ANALYST,"63,606","GLEN ALLEN, VA",06/17/2022,10/01/2022
361,DOW JONES AND COMPANY,DATA ANALYST,"63,705","NEW YORK, NY",02/08/2022,08/03/2022
362,KORPACK INC,DATA ANALYST,"64,000","BLOOMINGDALE, IL",04/26/2022,10/01/2022
363,WEICHAI AMERICA CORP,DATA ANALYST,"64,000","ROLLING MEADOWS, IL",05/13/2022,10/01/2022
364,WEICHAI AMERICA CORP,DATA ANALYST,"64,000","ROLLING MEADOWS, IL",05/19/2022,10/01/2022
365,GEODIS LOGISTICS LLC,DATA ANALYST,"64,085","BRENTWOOD, TN",05/11/2022,10/01/2022
366,CARESYNTAX CORPORATION,DATA ANALYST,"64,501","MEQUON, WI",05/24/2022,10/01/2022
367,CARESYNTAX CORPORATION,DATA ANALYST,"64,501","MEQUON, WI",06/06/2022,10/01/2022
368,THE CHILDREN'S HOSPITAL OF PHILADELPHIA,DATA ANALYST,"64,771","PHILADELPHIA, PA",12/14/2022,12/19/2022
369,THE CHILDREN'S HOSPITAL OF PHILADELPHIA,DATA ANALYST,"64,771","PHILADELPHIA, PA",12/22/2022,06/12/2023
370,RAGHAV LLC,DATA ANALYST,"64,813","DALLAS, TX",09/14/2022,10/01/2022
371,DRAGON SEEDS LLC,DATA ANALYST,"65,000","LONG ISLAND CITY, NY",08/10/2022,08/29/2022
372,DRAGON SEEDS LLC,DATA ANALYST,"65,000","LONG ISLAND CITY, NY",08/17/2022,08/29/2022
373,AMERITAS LIFE INSURANCE CORP,DATA ANALYST,"65,000","LINCOLN, NE",04/07/2022,10/01/2022
374,ECAPITAL ADVISORS LLC,DATA ANALYST,"65,000","BLOOMINGTON, MN",04/11/2022,10/01/2022
375,FLUZ FLUZ LLC,DATA ANALYST,"65,000","NEW YORK, NY",04/18/2022,10/01/2022
376,FLUZ FLUZ LLC,DATA ANALYST,"65,000","NEW YORK, NY",04/18/2022,10/01/2022
377,FLUZ FLUZ LLC,DATA ANALYST,"65,000","NEW YORK, NY",04/19/2022,06/15/2022
378,FLUZ FLUZ LLC,DATA ANALYST,"65,000","NEW YORK, NY",04/19/2022,10/01/2022
379,OPEN SPONSORSHIP CORP,DATA ANALYST,"65,000","JERSEY CITY, NJ",05/11/2022,10/01/2022
380,AMERITAS LIFE INSURANCE CORP,DATA ANALYST,"65,000","LINCOLN, NE",04/21/2022,10/01/2022
381,CYBER KORP INC,DATA ANALYST,"65,000","BLOOMINGDALE, IL",04/24/2022,10/01/2022
382,BRIDGE LEGAL TECHNOLOGY LLC,DATA ANALYST,"65,000","CHICAGO, IL",04/26/2022,10/01/2022
383,WISS AND COMPANY LLP,DATA ANALYST,"65,000","FLORHAM PARK, NJ",05/03/2022,10/01/2022
384,BROADRANGE TECHNOLOGIES INC,DATA ANALYST,"65,000","DALLAS, TX",05/11/2022,10/01/2022
385,OPEN SPONSORSHIP CORP,DATA ANALYST,"65,000","JERSEY CITY, NJ",05/11/2022,10/01/2022
386,BROADRANGE TECHNOLOGIES INC,DATA ANALYST,"65,000","DALLAS, TX",05/13/2022,10/01/2022
387,IT PREMIA GROUP INC,DATA ANALYST,"65,000","LINCOLN, NE",05/13/2022,10/01/2022
388,PRIVATE NATIONAL MORTGAGE ACCEPTANCE COMPANY LLC,DATA ANALYST,"65,000","THOUSAND OAKS, CA",05/17/2022,10/01/2022
389,IFIT INC,DATA ANALYST,"65,000","LOGAN, UT",05/27/2022,10/01/2022
390,BEST HIGH TECHNOLOGIES LLC,DATA ANALYST,"65,000","PRINCETON, NJ",06/13/2022,10/01/2022
391,CUBOID LLC,DATA ANALYST,"65,291","OMAHA, NE",06/17/2022,10/01/2022
392,RESEARCH USA LLC,DATA ANALYST,"65,300","OMAHA, NE",02/16/2022,02/28/2022
393,SUPPLYSHIFT INC,DATA ANALYST,"65,478","SANTA CRUZ, CA",02/18/2022,06/01/2022
394,FIRST TEK INC,DATA ANALYST,"65,478","FRANKLIN PARK, NJ",05/11/2022,10/01/2022
395,SPIDO TECHNOLOGIES INC,DATA ANALYST,"65,499","MOUNT PLEASANT, MI",06/18/2022,10/01/2022
396,SPIDO TECHNOLOGIES INC,DATA ANALYST,"65,499","MOUNT PLEASANT, MI",06/18/2022,10/01/2022
397,BLUE OCEAN INC,DATA ANALYST,"65,520","NEW CASTLE, DE",03/21/2022,09/05/2022
398,PBR INC,DATA ANALYST,"65,603","ATHENS, GA",10/07/2022,10/24/2022
399,ELLSWORTH CORPORATION,DATA ANALYST,"65,832","ELK GROVE, IL",07/15/2022,07/18/2022
400,CAREER SOFT SOLUTIONS INC,DATA ANALYST,"65,832","ARLINGTON HEIGHTS, IL",09/20/2022,10/10/2022
401,AXIUM PACKAGING LLC,DATA ANALYST,"65,832","NEW ALBANY, OH",05/24/2022,10/01/2022
402,INCUBIT LLC,DATA ANALYST,"65,832","DELAWARE, OH",06/10/2022,10/01/2022
403,INCUBIT LLC,DATA ANALYST,"65,832","DELAWARE, OH",06/10/2022,10/01/2022
404,TDP GROUP,DATA ANALYST,"65,853","BATON ROUGE, LA",03/17/2022,03/21/2022
405,UNIFI AVIATION LLC,DATA ANALYST,"65,998","ATLANTA, GA",05/03/2022,10/01/2022
406,RAVH IT INC,DATA ANALYST,"66,186","DEARBORN, MI",05/20/2022,10/01/2022
407,COMPUTEK SOLUTIONS INC,DATA ANALYST,"66,186","FARMINGTON HILLS, MI",05/31/2022,10/01/2022
408,RSOURCE LLC,DATA ANALYST,"66,299","LUBBOCK, TX",01/27/2022,02/16/2022
409,RSOURCE LLC,DATA ANALYST,"66,299","AMHERST, NY",09/07/2022,09/19/2022
410,UNITED STATES FIRE INSURANCE COMPANY,DATA ANALYST,"66,373","MANCHESTER, CT",05/09/2022,10/01/2022
411,THE GOODYEAR TIRE & RUBBER COMPANY,DATA ANALYST,"66,477","AKRON, OH",06/07/2022,10/01/2022
412,THE UNIVERSITY OF TOLEDO,DATA ANALYST,"66,483","TOLEDO, OH",11/08/2022,01/02/2023
413,PINAL COUNTY COMMUNITY COLLEGE DISTRICT,DATA ANALYST,"66,820","COOLIDGE, AZ",09/30/2022,11/01/2022
414,AMERICAN TECHNOLOGY GROUP LLC,DATA ANALYST,"66,934","RICHMOND, VA",05/24/2022,10/01/2022
415,EFICENS SYSTEMS LLC,DATA ANALYST,"67,000","MELBOURNE, FL",03/29/2022,03/29/2022
416,EFICENS SYSTEMS LLC,DATA ANALYST,"67,000","MELBOURNE, FL",03/29/2022,03/29/2022
417,MAXDECISIONS LLC,DATA ANALYST,"67,000","RICHARDSON, TX",05/03/2022,10/01/2022
418,JENZABAR INC,DATA ANALYST,"67,000","WESTBURY, NY",05/18/2022,09/02/2022
419,THE UNIVERSITY OF VIRGINIA,DATA ANALYST,"67,163","DURHAM, NC",03/31/2022,07/06/2022
420,TOYOTA TSUSHO SYSTEMS US INC,DATA ANALYST,"67,475","PLANO, TX",04/04/2022,10/01/2022
421,MACHINE LEARNING TECHNOLOGIES LLC,DATA ANALYST,"67,475","PLANO, TX",05/05/2022,10/01/2022
422,AMICUS GLOBAL IT INC,DATA ANALYST,"67,496","DUBLIN, CA",02/22/2022,02/23/2022
423,AMICUS GLOBAL IT INC,DATA ANALYST,"67,496","DUBLIN, CA",06/07/2022,07/01/2022
424,DECIMALHEALTH LLC,DATA ANALYST,"67,500","NEW HAVEN, CT",04/19/2022,10/01/2022
425,COSMOS IT SOLUTIONS,DATA ANALYST,"67,500","PLANO, TX",05/31/2022,10/01/2022
426,COSMOS IT SOLUTIONS,DATA ANALYST,"67,500","PLANO, TX",06/05/2022,10/01/2022
427,HERO DIGITAL LLC,DATA ANALYST,"67,568","PHILADELPHIA, PA",04/05/2022,10/01/2022
428,ASUS COMPUTER INTERNATIONAL INC,DATA ANALYST,"67,784","FREMONT, CA",06/30/2022,09/02/2022
429,ASUS COMPUTER INTERNATIONAL INC,DATA ANALYST,"67,784","FREMONT, CA",06/28/2022,09/02/2022
430,ALBERT EINSTEIN COLLEGE OF MEDICINE,DATA ANALYST,"67,925","YONKERS, NY",12/02/2022,05/25/2023
431,TOURO UNIVERSITY NEVADA,DATA ANALYST,"68,000","HENDERSON, NV",06/24/2022,07/05/2022
432,RESURGENT CAPITAL SERVICES LP,DATA ANALYST,"68,000","GREENVILLE, SC",08/08/2022,08/15/2022
433,DATA BASIS LLC,DATA ANALYST,"68,000","STOW, OH",02/25/2022,08/02/2022
434,CEDAR RECOVERY CENTER OF MIDDLE TENNESSEE LLC,DATA ANALYST,"68,000","MOUNT JULIET, TN",04/20/2022,05/02/2022
435,CEDAR RECOVERY CENTER OF MIDDLE TENNESSEE LLC,DATA ANALYST,"68,000","MOUNT JULIET, TN",05/06/2022,05/16/2022
436,SENDARIDE INC,DATA ANALYST,"68,000","OKLAHOMA CITY, OK",05/12/2022,10/01/2022
437,HOLISTIC SOLUTIONS LLC,DATA ANALYST,"68,000","CHICAGO, IL",06/07/2022,10/01/2022
438,NEPHOS TECHNOLOGIES,DATA ANALYST,"68,000","PHOENIX, AZ",06/16/2022,10/01/2022
439,MOXIE IT SOLUTIONS,DATA ANALYST,"68,000","LOUISVILLE, KY",06/17/2022,10/01/2022
440,TREATMENT CENTERS HOLDCO LLC,DATA ANALYST,"68,058","GREENVILLE, SC",05/06/2022,06/01/2022
441,ENCOMPASS HEALTH CORPORATION,DATA ANALYST,"68,245","LAND O' LAKES, FL",04/12/2022,10/01/2022
442,WINTRUST FINANCIAL CORPORATION,DATA ANALYST,"68,276","ROSEMONT, IL",05/25/2022,10/01/2022
443,WINTRUST FINANCIAL CORPORATION,DATA ANALYST,"68,276","ROSEMONT, IL",06/06/2022,10/01/2022
444,SVS SOFT TECH LLC,DATA ANALYST,"68,432","STOUGHTON, MA",02/05/2022,06/01/2022
445,COMPREHENSIVE RESOURCES INC,DATA ANALYST,"68,432","NASHUA, NH",04/26/2022,10/01/2022
446,COMPREHENSIVE RESOURCES INC,DATA ANALYST,"68,432","AMHERST, NH",05/04/2022,10/01/2022
447,PHILIPS NORTH AMERICA LLC,DATA ANALYST,"68,432","CAMBRIDGE, MA",05/09/2022,05/16/2022
448,COGENT DATA SOLUTIONS LLC,DATA ANALYST,"68,702","ORLANDO, FL",05/10/2022,10/01/2022
449,ALLIANT HEALTH GROUP INC,DATA ANALYST,"68,742","ATLANTA, GA",03/23/2022,08/31/2022
450,OKLAHOMA CITY PUBLIC SCHOOLS I-89,DATA ANALYST,"68,890","OKLAHOMA CITY, OK",11/01/2022,11/28/2022
451,BLITZ APP INC,DATA ANALYST,"69,139","GLENDALE, CA",11/10/2022,11/15/2022
452,BLITZ APP INC,DATA ANALYST,"69,139","LOS ANGELES, CA",10/28/2022,11/01/2022
453,BLITZ APP INC,DATA ANALYST,"69,139","LOS ANGELES, CA",11/01/2022,11/01/2022
454,WHYTE AND MACKAY AMERICAS LIMITED,DATA ANALYST,"69,160","ATLANTA, GA",05/31/2022,10/01/2022
455,RYZLINK CORP,DATA ANALYST,"69,389","FRISCO, TX",05/16/2022,10/01/2022
456,NATIONAL BOARD OF OSTEOPATHIC MEDICAL EXAMINERS,DATA ANALYST,"69,615","CHICAGO, IL",05/05/2022,10/01/2022
457,SPARKSOFT CORPORATION,DATA ANALYST,"69,628","RESTON, VA",05/06/2022,10/01/2022
458,MAIL MEDIA INC,DATA ANALYST,"69,826","NEW YORK, NY",04/08/2022,10/01/2022
459,ITLIZE GLOBAL LLC,DATA ANALYST,"69,826","NEW YORK, NY",04/19/2022,10/01/2022
460,ITLIZE GLOBAL LLC,DATA ANALYST,"69,826","INDIANAPOLIS, IN",04/19/2022,10/01/2022
461,SOFTNET LLC,DATA ANALYST,"69,826","BASKING RIDGE, NJ",05/07/2022,10/01/2022
462,GO8IT INC,DATA ANALYST,"69,826","JERSEY CITY, NJ",05/11/2022,10/01/2022
463,GO8IT INC,DATA ANALYST,"69,826","JERSEY CITY, NJ",05/13/2022,10/01/2022
464,VIRTUOSO INFO SYSTEMS INC,DATA ANALYST,"69,826","JERSEY CITY, NJ",05/14/2022,10/01/2022
465,BLOOMBERG LP,DATA ANALYST,"69,826","PRINCETON, NJ",05/24/2022,10/01/2022
466,GO8IT INC,DATA ANALYST,"69,826","JERSEY CITY, NJ",05/25/2022,10/01/2022
467,SUMAS CORPORATION,DATA ANALYST,"69,826","PLAINSBORO, NJ",06/07/2022,10/01/2022
468,SUMAS CORPORATION,DATA ANALYST,"69,826","PLAINSBORO, NJ",06/07/2022,10/01/2022
469,SUMAS CORPORATION,DATA ANALYST,"69,826","PLAINSBORO, NJ",06/07/2022,10/01/2022
470,SUMAS CORPORATION,DATA ANALYST,"69,826","PLAINSBORO, NJ",06/07/2022,10/01/2022
471,COREMATIQ INC,DATA ANALYST,"69,826","PLAINSBORO, NJ",06/09/2022,10/01/2022
472,COREMATIQ INC,DATA ANALYST,"69,826","PLAINSBORO, NJ",06/09/2022,10/01/2022
473,COREMATIQ INC,DATA ANALYST,"69,826","PLAINSBORO, NJ",06/09/2022,10/01/2022
474,SWIZTECH INC,DATA ANALYST,"69,826","PLAINSBORO, NJ",06/10/2022,10/01/2022
475,ECHELON IT INC,DATA ANALYST,"69,826","PLAINSBORO, NJ",06/10/2022,10/01/2022
476,SWIZTECH INC,DATA ANALYST,"69,826","JERSEY CITY, NJ",06/10/2022,10/01/2022
477,SWIZTECH INC,DATA ANALYST,"69,826","PLAINSBORO, NJ",06/10/2022,10/01/2022
478,ECHELON IT INC,DATA ANALYST,"69,826","PLAINSBORO, NJ",06/10/2022,10/01/2022
479,ECHELON IT INC,DATA ANALYST,"69,826","PLAINSBORO, NJ",06/10/2022,10/01/2022
480,COREMATIQ INC,DATA ANALYST,"69,826","PLAINSBORO, NJ",06/13/2022,10/01/2022
481,COREMATIQ INC,DATA ANALYST,"69,826","PLAINSBORO, NJ",06/13/2022,10/01/2022
482,COREMATIQ INC,DATA ANALYST,"69,826","PLAINSBORO, NJ",06/13/2022,10/01/2022
483,SANS AMERICA INC,DATA ANALYST,"69,826","MIDVALE, UT",06/17/2022,10/01/2022
484,RENOTEK GROUP LLC,DATA ANALYST,"69,826","PISCATAWAY, NJ",06/18/2022,10/01/2022
485,ITLIZE GLOBAL LLC,DATA ANALYST,"69,888","BLOOMINGTON, IL",04/11/2022,10/01/2022
486,ITLIZE GLOBAL LLC,DATA ANALYST,"69,888","BLOOMINGTON, IL",04/21/2022,10/01/2022
487,BIOCEPT INC,DATA ANALYST,"69,888","SAN DIEGO, CA",05/12/2022,10/01/2022
488,BIOCEPT INC,DATA ANALYST,"69,888","SAN DIEGO, CA",05/25/2022,10/01/2022
489,NUWAY SOLUTIONS LLC,DATA ANALYST,"69,888","SOUTH PLAINFIELD, NJ",06/03/2022,10/01/2022
490,BAANYAN SOFTWARE SERVICES INC,DATA ANALYST,"70,000","NEW YORK, NY",06/30/2022,06/30/2022
491,SQL DATA SOLUTIONS INC,DATA ANALYST,"70,000","OREM, UT",08/01/2022,08/01/2022
492,XSUNT CORPORATION,DATA ANALYST,"70,000","NEWTOWN, PA",03/28/2022,09/26/2022
493,H J AUTO GROUP INC,DATA ANALYST,"70,000","ROSEMEAD, CA",04/13/2022,10/01/2022
494,MAGANTI IT RESOURCES LLC,DATA ANALYST,"70,000","NAUGATUCK, CT",04/19/2022,09/10/2022
495,OVEARSEAS FOOD TRADING LTD,DATA ANALYST,"70,000","FORT LEE, NJ",04/19/2022,04/20/2022
496,BAANYAN SOFTWARE SERVICES INC,DATA ANALYST,"70,000","NEW YORK, NY",06/30/2022,06/30/2022
497,FISCALNOTE HOLDINGS INC & SUBSIDIARIES,DATA ANALYST,"70,000","URBANA, IL",04/20/2022,10/01/2022
498,CENGAGE LEARNING INC,DATA ANALYST,"70,000","BOSTON, MA",05/02/2022,10/01/2022
499,HOMEFREE USA INC,DATA ANALYST,"70,000","LANDOVER, MD",05/04/2022,10/01/2022
500,MID-ATLANTIC PERMANENTE MEDICAL GROUP PC,DATA ANALYST,"70,000","ROCKVILLE, MD",05/05/2022,10/01/2022
501,HEMEMICS BIOTECHNOLOGIES INC,DATA ANALYST,"70,000","GAITHERSBURG, MD",05/17/2022,10/01/2022
502,PRIVATE NATIONAL MORTGAGE ACCEPTANCE COMPANY LLC,DATA ANALYST,"70,000","THOUSAND OAKS, CA",05/17/2022,10/01/2022
503,QUICK RELEASE INC,DATA ANALYST,"70,000","IRVINE, CA",05/18/2022,10/01/2022
504,REACT TECHNOLOGIES LLC,DATA ANALYST,"70,000","SPRING, TX",05/20/2022,10/01/2022
505,QUICK RELEASE INC,DATA ANALYST,"70,000","IRVINE, CA",05/23/2022,10/01/2022
506,CYBER CHASSE INC,DATA ANALYST,"70,000","TAMPA, FL",06/02/2022,10/01/2022
507,SUMAS CORPORATION,DATA ANALYST,"70,000","PLAINSBORO, NJ",06/03/2022,10/01/2022
508,SUMAS CORPORATION,DATA ANALYST,"70,000","PLAINSBORO, NJ",06/03/2022,10/01/2022
509,DON'T RUN OUT INC,DATA ANALYST,"70,000","NEW YORK, NY",06/09/2022,10/01/2022
510,LAKSAN TECHNOLOGIES LLC,DATA ANALYST,"70,000","METUCHEN, NJ",06/11/2022,10/01/2022
511,KP FINANCIAL SOLUTIONS INC,DATA ANALYST,"70,000","SAN JOSE, CA",06/13/2022,10/01/2022
512,TECHRUIT SOLUTIONS LLC,DATA ANALYST,"70,000","TAMPA, FL",06/14/2022,10/01/2022
513,PIONEER CONSULTING SERVICES INC,DATA ANALYST,"70,000","HOUSTON, TX",06/15/2022,10/01/2022
514,KP FINANCIAL SOLUTIONS INC,DATA ANALYST,"70,000","SAN JOSE, CA",06/15/2022,10/01/2022
515,INFORMA TECH LLC,DATA ANALYST,"70,000","AUSTIN, TX",06/15/2022,10/01/2022
516,ASTIR IT SOLUTIONS INC,DATA ANALYST,"70,000","BRONX, NY",06/21/2022,10/01/2022
517,BRIGHTREE HOME HEALTH & HOSPICE LLC,DATA ANALYST,"70,000","MORRISVILLE, NC",06/22/2022,07/01/2022
518,CITY OF COLLEGE PARK GEORGIA,DATA ANALYST,"70,006","COLLEGE PARK, GA",12/05/2022,12/05/2022
519,BOOT BARN INC,DATA ANALYST,"70,075","IRVINE, CA",04/18/2022,04/19/2022
520,FOCALONE SOFT INC,DATA ANALYST,"70,075","DOWNEY, CA",05/20/2022,10/01/2022
521,ACADIA TECHNOLOGIES INC,DATA ANALYST,"70,075","GLENDALE,, CA",05/26/2022,10/01/2022
522,161 DEV INC,DATA ANALYST,"70,075","EL SEGUNDO, CA",06/03/2022,10/01/2022
523,NATIONAL FOUNDATION FOR THE CENTERS FOR DISEASE CONTROL AND PREVENTION INC,DATA ANALYST,"70,158","HARTFORD, CT",01/31/2022,02/14/2022
524,ZEPHYR TECH LLC,DATA ANALYST,"70,242","ROSELLE, IL",05/17/2022,10/01/2022
525,DEMATIC CORP,DATA ANALYST,"70,346","AUSTIN, TX",03/16/2022,09/15/2022
526,AGGREKO LLC,DATA ANALYST,"70,346","AUSTIN, TX",03/23/2022,09/08/2022
527,NTECH INTERNATIONAL LLC,DATA ANALYST,"70,346","AUSTIN, TX",06/22/2022,10/01/2022
528,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,DATA ANALYST,"70,350","NEW YORK, NY",05/21/2022,07/15/2022
529,INTEGRATION DEVELOPER NETWORK LLC,DATA ANALYST,"70,350","PFLUGERVILLE, TX",06/04/2022,10/01/2022
530,RAMSONS INNOVATIONS,DATA ANALYST,"70,350","PFLUGERVILLE, TX",06/20/2022,10/01/2022
531,STATE AUTO PROPERTY & CASUALTY INSURANCE COMPANIES,DATA ANALYST,"70,491","COLUMBUS, OH",02/28/2022,08/18/2022
532,CYBERBRIDGE INTERNATIONAL,DATA ANALYST,"70,500","SCHAUMBURG, IL",01/21/2022,01/24/2022
533,HI-TECH SOLUTIONS INC,DATA ANALYST,"70,595","BALTIMORE, MD",02/01/2022,02/14/2022
534,TRUED CONSULTING LLC,DATA ANALYST,"70,907","WARSAW, IN",06/02/2022,10/01/2022
535,CYBER KORP INC,DATA ANALYST,"71,000","RICHMOND, VA",09/15/2022,10/01/2022
536,URSI TECHNOLOGIES INC,DATA ANALYST,"71,000","ALPHARETTA, GA",05/07/2022,10/01/2022
537,URSI TECHNOLOGIES INC,DATA ANALYST,"71,000","ALPHARETTA, GA",05/07/2022,10/01/2022
538,COLUMBIA UNIVERSITY,DATA ANALYST,"71,000","NEW YORK, NY",06/09/2022,08/01/2022
539,SMARTBI LLC,DATA ANALYST,"71,000","IRVINE, CA",06/14/2022,10/01/2022
540,CLOUD BRIDGE SOLUTIONS INC,DATA ANALYST,"71,448","HUNTSVILLE, AL",05/09/2022,10/01/2022
541,IQUEST SOLUTIONS CORP,DATA ANALYST,"71,469","PLANO, TX",05/08/2022,10/01/2022
542,YAI-NATIONAL INSTITUTE FOR PEOPLE WITH DISABILITIES,DATA ANALYST,"71,500","NEW YORK, NY",02/15/2022,06/02/2022
543,SYSTEM SOFT TECHNOLOGIES LLC,DATA ANALYST,"71,500","PLANO, TX",06/16/2022,10/01/2022
544,FEDERAL SOFT SYSTEMS INC,DATA ANALYST,"71,677","HENRICO, VA",07/25/2022,07/25/2022
545,COGNAC SYSTEMS INC,DATA ANALYST,"71,947","METUCHEN, NJ",04/30/2022,10/01/2022
546,AVISON YOUNG (USA) INC,DATA ANALYST,"71,960","CHICAGO, IL",06/13/2022,10/01/2022
547,EMERGTECH BUSINESS SOLUTIONS INC,DATA ANALYST,"71,968","TAMPA, FL",06/01/2022,10/01/2022
548,INMOMENT INC,DATA ANALYST,"72,000","TOLEDO, OH",03/11/2022,08/02/2022
549,HELISHORES INC,DATA ANALYST,"72,000","PISCATAWAY, NJ",04/11/2022,10/01/2022
550,VSLN INTERNATIONAL INC,DATA ANALYST,"72,000","JERSEY CITY, NJ",04/11/2022,04/12/2022
551,SWAVE SENSING INC,DATA ANALYST,"72,000","HOBOKEN, NJ",04/11/2022,10/01/2022
552,SWAVE SENSING INC,DATA ANALYST,"72,000","HOBOKEN, NJ",04/12/2022,10/01/2022
553,DARKLIGHT TECH LTD,DATA ANALYST,"72,000","JERSEY CITY, NJ",04/17/2022,10/01/2022
554,INMOMENT INC,DATA ANALYST,"72,000","TOLEDO, OH",02/08/2022,08/02/2022
555,AKTRA INC,DATA ANALYST,"72,000","LONG ISLAND, NY",05/17/2022,10/01/2022
556,SAIPSIT INC,DATA ANALYST,"72,000","HOUSTON, TX 77002, TX",05/17/2022,07/05/2022
557,SAIPSIT INC,DATA ANALYST,"72,000","HOUSTON, TX",05/17/2022,07/05/2022
558,MATERIAL IN MOTION LLC,DATA ANALYST,"72,000","FAIRBURN, GA",05/25/2022,10/01/2022
559,POWERUP TECHNOLOGY INC,DATA ANALYST,"72,000","ARLINGTON, VA",06/01/2022,10/01/2022
560,SAIPSIT INC,DATA ANALYST,"72,000","HOUSTON, TX",06/02/2022,10/01/2022
561,TECHWISH LLC,DATA ANALYST,"72,000","STERLING, VA",06/04/2022,10/01/2022
562,OCBANG INC,DATA ANALYST,"72,000","SAN JOSE, CA",06/07/2022,10/01/2022
563,BENEFYTT TECHNOLOGIES INC,DATA ANALYST,"72,000","TAMPA, FL",05/17/2022,10/01/2022
564,STELLAR SERVICES INC,DATA ANALYST,"72,051","NEW YORK, NY",05/11/2022,10/01/2022
565,ELIZABETH RIVER CROSSINGS OPCO LLC,DATA ANALYST,"72,100","PORTSMOUTH, VA",05/09/2022,10/01/2022
566,BEYONDSOFT CONSULTING INC,DATA ANALYST,"72,155","REDMOND, WA",01/20/2022,07/20/2022
567,BEYONDSOFT CONSULTING INC,DATA ANALYST,"72,155","LYNNWOOD, WA",02/10/2022,08/11/2022
568,EVIL GENIUSES EG LLC,DATA ANALYST,"72,155","SEATTLE, WA",06/09/2022,10/01/2022
569,MOXIE IT SOLUTIONS,DATA ANALYST,"72,200","BISMARCK, ND",10/07/2022,10/12/2022
570,PURPLE DRIVE TECHNOLOGIES LLC,DATA ANALYST,"72,218","IRVINE, CA",05/26/2022,10/01/2022
571,AB INFOTEK LLC,DATA ANALYST,"72,384","AUSTIN, TX",06/14/2022,10/01/2022
572,DNV ENERGY SERVICES USA INC,DATA ANALYST,"72,471","OKEMOS, MI",03/04/2022,08/26/2022
573,CITIZENS FINANCIAL GROUP INC,DATA ANALYST,"72,500","JOHNSTON, RI",06/10/2022,10/01/2022
574,GRUBMARKET INC,DATA ANALYST,"72,696","SAN FRANCISCO, CA",05/05/2022,10/01/2022
575,APPLIED MEDICAL DISTRIBUTION CORPORATION,DATA ANALYST,"72,696","SAN RAMON, CA",05/12/2022,10/01/2022
576,BCCL WORLDWIDE INC,DATA ANALYST,"72,696","REDWOOD CITY, CA",05/24/2022,10/01/2022
577,CHARTBOOST INC,DATA ANALYST,"72,696","SAN FRANCISCO, CA",06/02/2022,10/01/2022
578,STACKIT PROFESSIONALS INC,DATA ANALYST,"72,696","SAN FRANCISCO, CA",06/21/2022,10/01/2022
579,XAMPLIFIER LLC,DATA ANALYST,"72,883","CHICAGO, IL",04/05/2022,09/04/2022
580,SPIDERROCK PLATFORM SERVICES LLC,DATA ANALYST,"72,883","CHICAGO, IL",04/05/2022,10/01/2022
581,INFOEXCEL INC,DATA ANALYST,"72,883","CHICAGO, IL",06/10/2022,10/01/2022
